8_3_4_7_2,12130.24,140.1,73.9,['cang_bai']
8_6_4_7_2,11962.41,127.8,83.2,['cang_bai']
8_0_4_7_2,11945.81,127.8,73.9,['cang_bai']
8_1_4_7_2,11939.67,134.3,73.9,['cang_bai']
4_4_1_7_2,11840.75,124.0,98.4,"['zhui_yi', 'cang_bai']"
8_7_4_7_2,11830.39,127.8,83.6,"['cang_bai', 'yue_tuan']"
7_3_4_7_2,11718.78,124.6,81.3,['cang_bai']
8_4_4_7_2,11698.71,127.8,81.7,['cang_bai']
8_4_4_7_0,11696.7,140.1,81.7,['cang_bai']
5_4_1_7_2,11649.82,118.1,101.5,"['zhui_yi', 'cang_bai']"
1_4_4_7_2,11625.07,112.3,92.2,['cang_bai']
11_4_4_7_2,11582.38,124.0,91.4,"['yue_tuan', 'cang_bai']"
7_6_4_7_2,11551.17,112.3,90.6,['cang_bai']
0_4_4_7_2,11549.1,118.1,81.7,['cang_bai']
7_0_4_7_2,11524.54,112.3,81.3,['cang_bai']
7_1_4_7_2,11523.16,118.8,81.3,['cang_bai']
4_4_4_7_2,11508.34,124.0,84.8,['cang_bai']
8_3_1_7_2,11501.84,140.1,87.5,['cang_bai']
7_7_4_7_2,11420.43,112.3,91.0,"['cang_bai', 'yue_tuan']"
8_8_4_7_2,11381.76,127.8,80.9,"['cang_bai', 'yue_tuan']"
8_6_1_7_2,11326.12,127.8,96.8,['cang_bai']
5_4_4_7_2,11310.47,118.1,87.9,['cang_bai']
7_4_4_7_2,11298.24,112.3,89.1,['cang_bai']
7_4_4_7_0,11287.52,124.6,89.1,['cang_bai']
8_1_1_7_2,11278.81,134.3,87.5,['cang_bai']
8_0_1_7_2,11264.92,127.8,87.5,['cang_bai']
8_4_4_7_4,11243.58,134.3,50.6,"['cang_bai', 'zong_shi']"
3_4_4_7_2,11200.35,112.3,87.5,['cang_bai']
8_7_1_7_2,11193.02,127.8,97.2,['cang_bai']
6_3_4_7_2,11179.01,140.8,81.3,['cang_bai']
8_4_1_7_2,11098.22,127.8,95.3,['cang_bai']
7_3_1_7_2,11095.01,124.6,94.9,['cang_bai']
8_2_4_7_2,11064.81,127.8,83.6,['cang_bai']
8_4_1_7_0,11055.94,140.1,95.3,['cang_bai']
6_6_4_7_2,11015.66,128.5,90.6,['cang_bai']
1_4_1_7_2,11011.6,112.3,105.8,['cang_bai']
6_0_4_7_2,10989.88,128.5,81.3,['cang_bai']
6_1_4_7_2,10988.63,135.0,81.3,['cang_bai']
7_8_4_7_2,10984.51,112.3,88.3,"['cang_bai', 'yue_tuan']"
